timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1763183270,0,6.709719181060791,9247588352,25769803776,95,37
1763183274,10,5.4672722816467285,13792116736,25769803776,100,46
1763183277,20,3.6064534187316895,17080451072,25769803776,100,43
1763183281,30,3.910229206085205,17080451072,25769803776,98,46
1763183285,40,4.4608964920043945,17080451072,25769803776,100,45
1763183289,50,3.5872700214385986,17080451072,25769803776,100,47
1763183292,60,3.9434261322021484,17080451072,25769803776,100,41
1763183296,70,3.642244815826416,17080451072,25769803776,100,41
1763183300,80,4.112033367156982,17080451072,25769803776,100,39
1763183303,90,3.7928121089935303,17080451072,25769803776,100,47
1763183307,100,3.595017194747925,17080451072,25769803776,100,42
1763183311,110,3.8506340980529785,17080451072,25769803776,100,40
1763183315,120,3.736008882522583,17080451072,25769803776,100,46
1763183319,130,3.9358139038085938,17080451072,25769803776,100,48
1763183323,140,3.4654200077056885,17080451072,25769803776,98,44
1763183327,150,3.812614679336548,17080451072,25769803776,100,39
1763183331,160,3.132079601287842,17080451072,25769803776,100,44
1763183334,170,3.501779317855835,17080451072,25769803776,100,39
1763183338,180,3.7739408016204834,20377174016,25769803776,100,40
1763183342,190,3.7145278453826904,20377174016,25769803776,98,42
1763183346,200,3.6964447498321533,20377174016,25769803776,100,39
1763183349,210,3.7854676246643066,20400242688,25769803776,100,39
1763183353,220,3.395517110824585,20400242688,25769803776,100,42
1763183357,230,3.542614459991455,20400242688,25769803776,100,42
1763183361,240,3.6081511974334717,20400242688,25769803776,100,42
