timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764139307,0,4.393898010253906,7232421888,17179869184,100,52
1764139313,10,4.295016288757324,15461646336,17179869184,100,52
1764139318,20,4.267644882202148,12647268352,17179869184,100,53
1764139323,30,3.762083053588867,12647268352,17179869184,100,51
1764139330,40,3.655378580093384,12647268352,17179869184,100,52
1764139336,50,3.6399450302124023,15927214080,17179869184,100,52
1764139341,60,3.2920732498168945,12680822784,17179869184,100,50
1764139350,70,3.8308351039886475,12680822784,17179869184,100,53
1764139440,80,3.2953152656555176,12716474368,17179869184,100,51
1764139446,90,3.815081834793091,15954477056,17179869184,100,49
1764139455,100,3.9491891860961914,15954477056,17179869184,100,51
1764139460,110,3.15214204788208,15954477056,17179869184,100,50
1764139466,120,4.3116135597229,13624541184,17179869184,100,47
1764139475,130,2.958501100540161,16879321088,17179869184,100,50
1764139480,140,3.3611273765563965,12901023744,17179869184,100,50
1764139570,150,3.9590227603912354,14119469056,17179869184,100,52
1764139580,160,3.0359528064727783,12368347136,17179869184,100,53
1764139585,170,3.0208563804626465,15606349824,17179869184,98,58
1764139590,180,3.323796033859253,15606349824,17179869184,100,53
1764139599,190,3.7338874340057373,13221888000,17179869184,100,53
1764139604,200,3.66029691696167,13221888000,17179869184,100,50
1764139609,210,2.9570322036743164,16518610944,17179869184,100,49
1764139705,220,1.6614856719970703,16457793536,17179869184,100,51
1764139710,230,2.8355939388275146,13154779136,17179869184,100,52
1764139716,240,3.4525082111358643,14748614656,17179869184,100,48
