timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1763183752,0,4.3319830894470215,17048993792,25769803776,99,48
1763183759,10,4.042044162750244,24470814720,25769803776,100,46
1763183768,20,3.9576432704925537,24470814720,25769803776,100,44
1763183775,30,4.977649211883545,24154144768,25769803776,100,49
1763183779,40,4.820128917694092,12626100224,25769803776,98,45
1763183783,50,2.804809093475342,12626100224,25769803776,98,46
1763183787,60,3.7308897972106934,13441892352,25769803776,100,43
1763183791,70,4.06044864654541,13441892352,25769803776,100,42
1763183795,80,3.467012643814087,13441892352,25769803776,98,47
1763183816,90,3.266611337661743,9394388992,25769803776,95,35
1763183820,100,3.363358736038208,17011245056,25769803776,100,45
1763183824,110,3.7019617557525635,17827037184,25769803776,100,42
1763183828,120,3.272542715072632,17827037184,25769803776,100,44
1763183831,130,3.056408643722534,17827037184,25769803776,100,42
1763183835,140,3.681356906890869,17827037184,25769803776,100,42
1763183839,150,3.5347630977630615,17827037184,25769803776,100,44
1763183843,160,2.6338038444519043,17827037184,25769803776,100,46
1763183847,170,3.4808638095855713,17827037184,25769803776,100,45
1763183851,180,3.9536759853363037,17827037184,25769803776,100,40
1763183855,190,3.262537717819214,18644926464,25769803776,100,42
1763183859,200,3.1694607734680176,18644926464,25769803776,100,38
1763183885,210,2.780911922454834,12227641344,25769803776,100,44
1763183889,220,3.499586820602417,16891707392,25769803776,100,47
1763183893,230,2.942561149597168,23300603904,25769803776,100,43
1763183897,240,3.148045301437378,13685161984,25769803776,97,46
