timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764120849,0,7.3428802490234375,8467644416,17179869184,86,58
1764120852,10,4.806528091430664,10973741056,17179869184,98,61
1764120856,20,3.504958391189575,10973741056,17179869184,100,50
1764120859,30,3.3337316513061523,10973741056,17179869184,100,75
1764120868,40,3.4027929306030273,10984226816,17179869184,100,50
1764120872,50,nan,10984226816,17179869184,100,51
1764120875,60,nan,10984226816,17179869184,98,59
1764120891,70,nan,10984226816,17179869184,100,57
1764120894,80,3.3169174194335938,10984226816,17179869184,98,75
1764120898,90,3.2269585132598877,10984226816,17179869184,98,60
1764121020,100,nan,11881807872,17179869184,98,69
1764121023,110,2.892348289489746,12095717376,17179869184,95,66
1764121027,120,2.2382397651672363,12099911680,17179869184,100,51
1764121042,130,3.7637152671813965,12284461056,17179869184,100,62
1764121045,140,4.23837947845459,12284461056,17179869184,100,50
1764121049,150,3.4491050243377686,12284461056,17179869184,100,50
1764121063,160,2.167139768600464,12284461056,17179869184,100,50
1764121066,170,3.775928020477295,12284461056,17179869184,97,63
1764121070,180,3.1388416290283203,12284461056,17179869184,97,66
1764121112,190,3.537893533706665,12500467712,17179869184,98,62
1764121115,200,1.4242839813232422,12907315200,17179869184,95,58
1764121119,210,2.3034701347351074,12907315200,17179869184,100,51
1764121134,220,3.089454174041748,12907315200,17179869184,97,73
1764121138,230,2.5344042778015137,12907315200,17179869184,95,71
1764121142,240,3.047125816345215,12907315200,17179869184,100,49
1764121156,250,4.855917930603027,12907315200,17179869184,97,62
1764121160,260,2.747676134109497,12907315200,17179869184,95,71
1764121164,270,3.253084659576416,12907315200,17179869184,98,49
1764121356,280,nan,12248809472,17179869184,100,51
1764121359,290,nan,12255100928,17179869184,98,62
1764121363,300,nan,12255100928,17179869184,100,59
1764121377,310,nan,12255100928,17179869184,97,64
1764121380,320,nan,12255100928,17179869184,100,55
1764121384,330,nan,12255100928,17179869184,97,59
1764121399,340,nan,12255100928,17179869184,97,67
1764121402,350,nan,12255100928,17179869184,98,59
1764121406,360,nan,12255100928,17179869184,100,49
1764121444,370,nan,12221546496,17179869184,97,72
1764121447,380,nan,12229935104,17179869184,100,50
1764121450,390,nan,12229935104,17179869184,98,49
1764121464,400,nan,12229935104,17179869184,100,49
1764121467,410,nan,12229935104,17179869184,100,51
1764121471,420,nan,12229935104,17179869184,100,50
1764121486,430,nan,12229935104,17179869184,100,51
1764121489,440,nan,12229935104,17179869184,100,62
1764121493,450,nan,12238323712,17179869184,95,74
1764121533,460,nan,12131368960,17179869184,100,51
1764121537,470,nan,12324306944,17179869184,97,71
1764121540,480,nan,12529827840,17179869184,100,50
1764121555,490,nan,12529827840,17179869184,97,71
1764121559,500,nan,12529827840,17179869184,97,62
1764121562,510,nan,12529827840,17179869184,97,67
1764121577,520,nan,12529827840,17179869184,98,54
1764121581,530,nan,12529827840,17179869184,100,50
1764121584,540,nan,12529827840,17179869184,100,50
1764121621,550,nan,13066698752,17179869184,100,55
1764121624,560,nan,13068795904,17179869184,100,50
1764121628,570,nan,13068795904,17179869184,95,63
1764121640,580,nan,13070893056,17179869184,98,46
1764121643,590,nan,13070893056,17179869184,100,61
1764121647,600,nan,13070893056,17179869184,97,61
1764121661,610,nan,13070893056,17179869184,95,57
1764121665,620,nan,13070893056,17179869184,95,72
1764121668,630,nan,13070893056,17179869184,95,71
1764121710,640,nan,12783583232,17179869184,100,51
1764121714,650,nan,12794068992,17179869184,100,48
1764121717,660,nan,12810846208,17179869184,100,50
1764121732,670,nan,12810846208,17179869184,95,68
1764121735,680,nan,12810846208,17179869184,95,72
1764121738,690,nan,12810846208,17179869184,97,65
1764121752,700,nan,12810846208,17179869184,100,54
1764121756,710,nan,12810846208,17179869184,97,63
1764121759,720,nan,12810846208,17179869184,100,51
1764121803,730,nan,12011831296,17179869184,95,74
1764121807,740,nan,12215255040,17179869184,95,65
1764140604,0,4.037781715393066,8379564032,17179869184,96,47
1764140608,10,3.1132652759552,11051335680,17179869184,98,70
1764140611,20,3.593315362930298,11051335680,17179869184,100,72
1764140615,30,6.014439105987549,11053432832,17179869184,100,49
1764140625,40,3.3104777336120605,11053432832,17179869184,100,52
1764140628,50,2.7159128189086914,11053432832,17179869184,100,69
1764140632,60,3.522198438644409,11053432832,17179869184,100,71
1764140649,70,1.7692452669143677,11053432832,17179869184,100,49
1764140652,80,nan,11053432832,17179869184,100,75
1764140656,90,3.0611913204193115,11053432832,17179869184,100,45
1764140702,100,3.314624071121216,12376735744,17179869184,100,50
1764140706,110,5.440928936004639,12385124352,17179869184,100,59
1764140709,120,3.5529584884643555,12385124352,17179869184,100,50
1764140725,130,2.5909314155578613,12385124352,17179869184,97,63
1764140729,140,4.144160747528076,12385124352,17179869184,98,61
1764140732,150,3.3725826740264893,12385124352,17179869184,96,71
1764140748,160,2.986990451812744,12582256640,17179869184,95,72
1764140752,170,3.455038070678711,12582256640,17179869184,94,62
1764140755,180,3.1549367904663086,12582256640,17179869184,95,67
