timestamp,job_names,working_time,total_running_times,scheduler_overhead,total_scheduler_overhead,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764139926,"gpt2-small, first instance",120,120,0.000244140625,0.000244140625,15948185600,17179869184,100,55
1764140052,"gpt2-small, second instance",120,120,0.0001819133758544922,0.0004260540008544922,13473546240,17179869184,99,61
1764140178,"gpt2-small, first instance",120,240,0.0001533031463623047,0.0005793571472167969,485883904,17179869184,0,0
1764140298,"gpt2-small, second instance",120,240,0.000179290771484375,0.0007586479187011719,485883904,17179869184,0,0
