timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1763183511,0,4.6997833251953125,8152875008,25769803776,94,43
1763183515,10,4.410302639007568,15721496576,25769803776,100,46
1763183519,20,3.8432750701904297,16522608640,25769803776,98,46
1763183522,30,3.9614293575286865,16522608640,25769803776,100,43
1763183526,40,3.5711586475372314,19802554368,25769803776,98,49
1763183529,50,3.7089147567749023,19802554368,25769803776,100,41
1763183533,60,2.307676076889038,19802554368,25769803776,98,50
1763183537,70,3.698192596435547,19802554368,25769803776,98,49
1763183541,80,2.91329288482666,19825623040,25769803776,98,52
1763183545,90,4.0291852951049805,19825623040,25769803776,100,39
1763183549,100,4.060734272003174,19825623040,25769803776,98,48
1763183552,110,3.5506014823913574,19825623040,25769803776,100,38
1763183556,120,4.043044567108154,19825623040,25769803776,100,39
1763183560,130,3.5758373737335205,19825623040,25769803776,100,43
1763183564,140,3.8228700160980225,19825623040,25769803776,100,38
1763183568,150,3.338336706161499,19825623040,25769803776,100,40
1763183572,160,3.439328193664551,19825623040,25769803776,100,39
1763183576,170,3.107988119125366,19825623040,25769803776,100,40
1763183580,180,3.58670711517334,19825623040,25769803776,98,42
1763183584,190,3.86403489112854,19825623040,25769803776,98,42
1763183588,200,4.0888671875,19825623040,25769803776,100,40
1763183591,210,3.364269971847534,19825623040,25769803776,100,38
1763183595,220,nan,19825623040,25769803776,100,41
1763183599,230,3.5843796730041504,19825623040,25769803776,100,40
1763183603,240,3.9846510887145996,23122345984,25769803776,100,44
