timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764125092,0,3.5365848541259766,8549433344,17179869184,92,38
1764125095,10,3.8878629207611084,10740957184,17179869184,98,73
1764125099,20,nan,10944380928,17179869184,98,61
1764125102,30,3.2461977005004883,10944380928,17179869184,100,51
1764125112,40,3.4458184242248535,10944380928,17179869184,98,62
1764125116,50,6.357944011688232,10944380928,17179869184,100,49
1764125119,60,nan,10944380928,17179869184,100,54
1764125134,70,2.0233120918273926,10944380928,17179869184,100,49
1764125137,80,3.8061184883117676,10944380928,17179869184,98,72
1764125140,90,4.293344974517822,10944380928,17179869184,98,68
1764125154,100,4.322838306427002,10944380928,17179869184,100,55
1764125158,110,3.6199493408203125,10944380928,17179869184,98,74
1764125161,120,4.042749404907227,10944380928,17179869184,100,49
1764125176,130,3.5594966411590576,10944380928,17179869184,100,49
1764125180,140,3.4606313705444336,10944380928,17179869184,100,50
1764125183,150,3.4323270320892334,10944380928,17179869184,98,74
1764125198,160,3.394967794418335,10944380928,17179869184,100,68
1764125202,170,2.9194588661193848,10944380928,17179869184,100,56
1764125205,180,nan,10944380928,17179869184,100,50
1764125220,190,2.843296766281128,10954866688,17179869184,100,49
1764125223,200,1.5549193620681763,10954866688,17179869184,100,68
1764125226,210,3.3312246799468994,10954866688,17179869184,100,60
1764125241,220,2.7472662925720215,10954866688,17179869184,97,57
1764125244,230,2.427717685699463,10954866688,17179869184,100,50
1764125247,240,2.232678174972534,10954866688,17179869184,100,64
1764125261,250,3.303718328475952,10954866688,17179869184,100,55
1764125264,260,3.311406373977661,10954866688,17179869184,100,50
1764125268,270,3.555802583694458,10954866688,17179869184,100,73
1764126115,280,2.163553237915039,12649365504,17179869184,100,51
1764126119,290,2.417410373687744,12649365504,17179869184,100,49
1764126123,300,4.092990398406982,12848594944,17179869184,100,52
1764126138,310,2.8116068840026855,12848594944,17179869184,97,64
1764126141,320,3.023364782333374,12850692096,17179869184,95,73
1764126145,330,1.6467925310134888,12850692096,17179869184,100,57
1764126159,340,3.371270179748535,12854886400,17179869184,98,60
1764126162,350,2.765906572341919,12854886400,17179869184,100,50
1764126165,360,2.9807381629943848,12854886400,17179869184,97,63
1764126181,370,2.8730971813201904,12854886400,17179869184,100,58
1764126185,380,nan,12854886400,17179869184,100,49
1764126188,390,1.8852611780166626,12854886400,17179869184,97,63
1764126204,400,2.9509708881378174,12854886400,17179869184,97,72
1764126208,410,nan,12854886400,17179869184,100,51
1764126211,420,3.786430835723877,12854886400,17179869184,100,51
1764126226,430,4.632569313049316,12856983552,17179869184,100,50
1764126229,440,2.4894790649414062,12856983552,17179869184,98,56
1764126233,450,3.085364818572998,12856983552,17179869184,95,59
