timestamp,step,loss,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764123721,0,3.7438135147094727,8459255808,17179869184,92,50
1764123724,10,3.6054484844207764,11120541696,17179869184,98,67
1764123728,20,nan,11124736000,17179869184,98,51
1764123731,30,3.17358660697937,11124736000,17179869184,100,51
1764123741,40,3.3309998512268066,11133124608,17179869184,100,50
1764123745,50,nan,11133124608,17179869184,100,50
1764123748,60,3.249075412750244,11133124608,17179869184,100,72
1764123764,70,3.686049222946167,11133124608,17179869184,98,75
1764123767,80,3.954460859298706,11133124608,17179869184,98,74
1764123771,90,3.2001142501831055,11133124608,17179869184,100,49
1764124134,100,2.568664312362671,12074745856,17179869184,100,49
1764124138,110,3.4188992977142334,12269780992,17179869184,97,69
1764124142,120,nan,12269780992,17179869184,95,72
1764124157,130,3.2804949283599854,12269780992,17179869184,100,49
1764124161,140,3.258674383163452,12269780992,17179869184,95,70
1764124164,150,6.383779048919678,12269780992,17179869184,97,70
1764124178,160,3.0107593536376953,12269780992,17179869184,100,49
1764124181,170,3.9534952640533447,12269780992,17179869184,97,71
1764124185,180,3.283522844314575,12269780992,17179869184,97,66
1764124547,190,nan,12640976896,17179869184,97,68
1764124551,200,nan,12651462656,17179869184,100,50
1764124554,210,nan,12661948416,17179869184,95,59
1764124568,220,nan,12664045568,17179869184,97,61
1764124572,230,nan,12664045568,17179869184,100,52
1764124575,240,nan,12664045568,17179869184,100,50
1764124590,250,nan,12664045568,17179869184,97,72
1764124593,260,nan,12666142720,17179869184,98,62
1764124597,270,nan,12666142720,17179869184,100,56
1764124933,280,nan,12332695552,17179869184,98,49
1764124937,290,nan,12722765824,17179869184,100,51
1764124940,300,nan,12722765824,17179869184,100,59
1764124954,310,nan,12722765824,17179869184,100,51
1764124958,320,nan,12722765824,17179869184,100,51
1764124961,330,nan,12722765824,17179869184,100,50
1764124976,340,nan,12722765824,17179869184,100,51
1764124979,350,nan,12722765824,17179869184,98,49
1764124983,360,nan,12726960128,17179869184,98,57
