timestamp,job_names,working_time,total_running_times,scheduler_overhead,total_scheduler_overhead,gpu0_mem_used,gpu0_mem_total,gpu0_util_gpu,gpu0_util_mem
1764139350,"gpt2-small, first instance",60,60,0.0001494884490966797,0.0001494884490966797,12680822784,17179869184,95,57
1764139416,"gpt2-small, second instance",60,60,0.00019431114196777344,0.0003437995910644531,16501833728,17179869184,100,52
1764139482,"gpt2-small, first instance",60,120,0.0001862049102783203,0.0005300045013427734,12901023744,17179869184,100,48
1764139547,"gpt2-small, second instance",60,120,0.0001652240753173828,0.0006952285766601562,15224668160,17179869184,6,0
1764139613,"gpt2-small, first instance",60,180,0.00024247169494628906,0.0009377002716064453,16518610944,17179869184,0,0
1764139680,"gpt2-small, second instance",60,180,0.0002148151397705078,0.0011525154113769531,16839475200,17179869184,97,56
1764139745,"gpt2-small, first instance",60,240,0.00016260147094726562,0.0013151168823242188,485883904,17179869184,0,0
1764139806,"gpt2-small, second instance",60,240,0.00017142295837402344,0.0014865398406982422,485883904,17179869184,0,0
